Epoch 1/4000 (0%) | Time: 00:00:15 | ETA: 16:54:56 | GPS: 16.417248 | blue Avg Loss: -0.075577 | red Avg Loss: -0.080356 | blue Avg Reward: 1.400278 | red Avg Reward: 1.583324 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 2/4000 (0%) | Time: 00:00:16 | ETA: 17:23:37 | GPS: 15.531393 | blue Avg Loss: -0.077558 | red Avg Loss: -0.081647 | blue Avg Reward: 3.752127 | red Avg Reward: 4.464733 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 3/4000 (0%) | Time: 00:00:16 | ETA: 17:31:09 | GPS: 15.611790 | green Avg Loss: -0.072923 | red Avg Loss: -0.088688 | green Avg Reward: 2.496526 | red Avg Reward: 4.275855 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 4/4000 (0%) | Time: 00:00:15 | ETA: 17:26:00 | GPS: 16.144086 | blue Avg Loss: -0.077399 | green Avg Loss: -0.087757 | blue Avg Reward: 2.281461 | green Avg Reward: 3.633093 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 5/4000 (0%) | Time: 00:00:14 | ETA: 17:16:17 | GPS: 16.671510 | red Avg Loss: -0.073826 | blue Avg Loss: -0.078543 | red Avg Reward: 2.360543 | blue Avg Reward: 1.948830 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 6/4000 (0%) | Time: 00:00:14 | ETA: 17:05:18 | GPS: 17.126160 | red Avg Loss: -0.078837 | blue Avg Loss: -0.078359 | red Avg Reward: 1.060234 | blue Avg Reward: 1.488186 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 7/4000 (0%) | Time: 00:00:15 | ETA: 17:10:22 | GPS: 15.661284 | green Avg Loss: -0.073789 | red Avg Loss: -0.082933 | green Avg Reward: 3.876577 | red Avg Reward: 3.073358 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 8/4000 (0%) | Time: 00:00:16 | ETA: 17:16:35 | GPS: 15.374253 | red Avg Loss: -0.085390 | green Avg Loss: -0.077304 | red Avg Reward: 2.526866 | green Avg Reward: 2.955390 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 9/4000 (0%) | Time: 00:00:15 | ETA: 17:17:15 | GPS: 15.918071 | green Avg Loss: -0.082109 | red Avg Loss: -0.087103 | green Avg Reward: 1.668697 | red Avg Reward: 3.404022 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 10/4000 (0%) | Time: 00:00:15 | ETA: 17:19:22 | GPS: 15.673249 | red Avg Loss: -0.080532 | green Avg Loss: -0.079433 | red Avg Reward: 2.183601 | green Avg Reward: 3.133109 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 11/4000 (0%) | Time: 00:00:15 | ETA: 17:19:45 | GPS: 15.885906 | green Avg Loss: -0.080402 | red Avg Loss: -0.084751 | green Avg Reward: 1.706171 | red Avg Reward: 11.877964 | green Games Won: 0 | red Games Won: 1 | Games Played: 250
Epoch 12/4000 (0%) | Time: 00:00:14 | ETA: 17:15:25 | GPS: 16.773569 | blue Avg Loss: -0.080283 | green Avg Loss: -0.078876 | blue Avg Reward: 1.380557 | green Avg Reward: 0.837003 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 13/4000 (0%) | Time: 00:00:18 | ETA: 17:29:58 | GPS: 13.532026 | green Avg Loss: -0.077058 | red Avg Loss: -0.127603 | green Avg Reward: 6.079166 | red Avg Reward: 30.228657 | green Games Won: 0 | red Games Won: 2 | Games Played: 250
Epoch 14/4000 (0%) | Time: 00:00:15 | ETA: 17:29:45 | GPS: 15.812962 | red Avg Loss: -0.074645 | blue Avg Loss: -0.080461 | red Avg Reward: 2.143374 | blue Avg Reward: 2.594157 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 15/4000 (0%) | Time: 00:00:15 | ETA: 17:29:48 | GPS: 15.751383 | blue Avg Loss: -0.079028 | red Avg Loss: -0.078737 | blue Avg Reward: 2.274922 | red Avg Reward: 2.365432 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 16/4000 (0%) | Time: 00:00:15 | ETA: 17:26:34 | GPS: 16.566638 | red Avg Loss: -0.080264 | green Avg Loss: -0.078824 | red Avg Reward: 1.247685 | green Avg Reward: 1.481446 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 17/4000 (0%) | Time: 00:00:16 | ETA: 17:28:02 | GPS: 15.424676 | blue Avg Loss: -0.082884 | red Avg Loss: -0.090561 | blue Avg Reward: 2.968286 | red Avg Reward: 13.176287 | blue Games Won: 0 | red Games Won: 1 | Games Played: 250
Epoch 18/4000 (0%) | Time: 00:00:22 | ETA: 17:51:56 | GPS: 11.190686 | blue Avg Loss: -0.127993 | red Avg Loss: -0.114627 | blue Avg Reward: 17.384048 | red Avg Reward: 56.022335 | blue Games Won: 0 | red Games Won: 3 | Games Played: 250
Epoch 19/4000 (0%) | Time: 00:00:16 | ETA: 17:52:43 | GPS: 15.196721 | red Avg Loss: -0.084160 | blue Avg Loss: -0.078056 | red Avg Reward: 3.304725 | blue Avg Reward: 4.398618 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 20/4000 (0%) | Time: 00:00:15 | ETA: 17:49:55 | GPS: 16.226145 | red Avg Loss: -0.080631 | blue Avg Loss: -0.077798 | red Avg Reward: 2.613713 | blue Avg Reward: 2.524593 | red Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 21/4000 (0%) | Time: 00:00:15 | ETA: 17:48:07 | GPS: 15.982718 | green Avg Loss: -0.078795 | red Avg Loss: -0.085906 | green Avg Reward: 1.675739 | red Avg Reward: 3.778937 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 22/4000 (0%) | Time: 00:00:15 | ETA: 17:44:39 | GPS: 16.612292 | red Avg Loss: -0.081261 | green Avg Loss: -0.079707 | red Avg Reward: 1.293772 | green Avg Reward: 1.979679 | red Games Won: 0 | green Games Won: 0 | Games Played: 250
Epoch 23/4000 (0%) | Time: 00:00:14 | ETA: 17:40:43 | GPS: 16.908074 | green Avg Loss: -0.080185 | blue Avg Loss: -0.079847 | green Avg Reward: 1.914259 | blue Avg Reward: 1.420888 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 24/4000 (0%) | Time: 00:00:15 | ETA: 17:38:27 | GPS: 16.363561 | green Avg Loss: -0.079183 | red Avg Loss: -0.079857 | green Avg Reward: 1.317301 | red Avg Reward: 1.782398 | green Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 25/4000 (0%) | Time: 00:00:15 | ETA: 17:36:36 | GPS: 16.263096 | blue Avg Loss: -0.081528 | red Avg Loss: -0.091297 | blue Avg Reward: 1.988694 | red Avg Reward: 3.344265 | blue Games Won: 0 | red Games Won: 0 | Games Played: 250
Epoch 26/4000 (0%) | Time: 00:00:15 | ETA: 17:34:32 | GPS: 16.402734 | green Avg Loss: -0.080637 | blue Avg Loss: -0.079972 | green Avg Reward: 1.642718 | blue Avg Reward: 1.813542 | green Games Won: 0 | blue Games Won: 0 | Games Played: 250
Epoch 27/4000 (0%) | Time: 00:00:15 | ETA: 17:33:10 | GPS: 16.155620 | blue Avg Loss: -0.081680 | green Avg Loss: -0.083212 | blue Avg Reward: 2.265295 | green Avg Reward: 2.922439 | blue Games Won: 0 | green Games Won: 0 | Games Played: 250
