Epoch 1/4000 (0%) | Time: 00:00:13 | ETA: 15:02:36 | GPS: 18.460279 | blue Avg Loss: -0.074754 | red Avg Loss: -0.076770 | blue Avg Reward: 0.936153 | red Avg Reward: 0.450355 | Games Played: 250
Epoch 2/4000 (0%) | Time: 00:00:13 | ETA: 15:07:30 | GPS: 18.253018 | blue Avg Loss: -0.079115 | green Avg Loss: -0.077691 | blue Avg Reward: 0.261088 | green Avg Reward: 0.105393 | Games Played: 250
Epoch 3/4000 (0%) | Time: 00:00:15 | ETA: 15:39:19 | GPS: 16.597573 | red Avg Loss: -0.079846 | green Avg Loss: -0.020219 | red Avg Reward: 5.829377 | green Avg Reward: 37.557968 | Games Played: 250
Epoch 4/4000 (0%) | Time: 00:00:15 | ETA: 16:07:41 | GPS: 15.804292 | red Avg Loss: -0.070993 | green Avg Loss: -0.063233 | red Avg Reward: 4.411955 | green Avg Reward: 21.903086 | Games Played: 250
Epoch 5/4000 (0%) | Time: 00:00:13 | ETA: 15:58:54 | GPS: 18.000496 | blue Avg Loss: -0.078922 | red Avg Loss: -0.078821 | blue Avg Reward: 0.301569 | red Avg Reward: 0.537740 | Games Played: 250
Epoch 6/4000 (0%) | Time: 00:00:15 | ETA: 16:09:23 | GPS: 16.267929 | red Avg Loss: -0.076835 | green Avg Loss: -0.057114 | red Avg Reward: 2.695279 | green Avg Reward: 10.960911 | Games Played: 250
Epoch 7/4000 (0%) | Time: 00:00:16 | ETA: 16:31:23 | GPS: 14.790121 | red Avg Loss: -0.087429 | green Avg Loss: 0.826029 | red Avg Reward: 9.799253 | green Avg Reward: 41.444397 | Games Played: 250
Epoch 8/4000 (0%) | Time: 00:00:14 | ETA: 16:25:23 | GPS: 17.600583 | blue Avg Loss: -0.079345 | red Avg Loss: -0.077376 | blue Avg Reward: 0.313733 | red Avg Reward: 1.811404 | Games Played: 250
Epoch 9/4000 (0%) | Time: 00:00:16 | ETA: 16:35:56 | GPS: 15.363625 | red Avg Loss: -0.071744 | green Avg Loss: 0.037930 | red Avg Reward: 8.094679 | green Avg Reward: 34.586708 | Games Played: 250
Epoch 10/4000 (0%) | Time: 00:00:14 | ETA: 16:30:30 | GPS: 17.613768 | green Avg Loss: -0.068330 | red Avg Loss: -0.079430 | green Avg Reward: 0.752228 | red Avg Reward: 0.215269 | Games Played: 250
Epoch 11/4000 (0%) | Time: 00:00:14 | ETA: 16:28:19 | GPS: 17.154025 | green Avg Loss: -0.074882 | red Avg Loss: -0.079067 | green Avg Reward: 0.379513 | red Avg Reward: 0.196586 | Games Played: 250
Epoch 12/4000 (0%) | Time: 00:00:16 | ETA: 16:36:03 | GPS: 15.330334 | blue Avg Loss: -0.077067 | green Avg Loss: -0.090254 | blue Avg Reward: 3.194267 | green Avg Reward: 10.953207 | Games Played: 250
Epoch 13/4000 (0%) | Time: 00:00:16 | ETA: 16:45:14 | GPS: 14.854593 | blue Avg Loss: -0.082745 | green Avg Loss: -0.074700 | blue Avg Reward: 5.099602 | green Avg Reward: 16.915596 | Games Played: 250
Epoch 14/4000 (0%) | Time: 00:00:14 | ETA: 16:40:21 | GPS: 17.664855 | blue Avg Loss: -0.078865 | red Avg Loss: -0.080242 | blue Avg Reward: 0.579280 | red Avg Reward: 0.793174 | Games Played: 250
Epoch 15/4000 (0%) | Time: 00:00:17 | ETA: 16:49:12 | GPS: 14.607141 | red Avg Loss: -0.076022 | green Avg Loss: -0.076340 | red Avg Reward: 3.732503 | green Avg Reward: 22.563234 | Games Played: 250
Epoch 16/4000 (0%) | Time: 00:00:14 | ETA: 16:44:20 | GPS: 17.751321 | green Avg Loss: -0.073136 | blue Avg Loss: -0.078941 | green Avg Reward: 0.217033 | blue Avg Reward: 5.165554 | Games Played: 250
Epoch 17/4000 (0%) | Time: 00:00:15 | ETA: 16:44:10 | GPS: 16.503385 | blue Avg Loss: -0.077635 | green Avg Loss: -0.087839 | blue Avg Reward: 1.292303 | green Avg Reward: 5.553237 | Games Played: 250
Epoch 18/4000 (0%) | Time: 00:00:15 | ETA: 16:46:57 | GPS: 15.676990 | red Avg Loss: -0.080622 | green Avg Loss: -0.070792 | red Avg Reward: 4.992673 | green Avg Reward: 17.698837 | Games Played: 250
Epoch 19/4000 (0%) | Time: 00:00:14 | ETA: 16:44:07 | GPS: 17.321060 | green Avg Loss: -0.072226 | blue Avg Loss: -0.078537 | green Avg Reward: 0.912034 | blue Avg Reward: 0.839076 | Games Played: 250
Epoch 20/4000 (0%) | Time: 00:00:14 | ETA: 16:41:59 | GPS: 17.157913 | green Avg Loss: -0.077804 | blue Avg Loss: -0.083160 | green Avg Reward: 1.230374 | blue Avg Reward: 1.807513 | Games Played: 250
